nBits,count,min,median,mean,mode,stdev,skew,kurtosis,pvariance,variance,max,mad,cv,medad,stderr
299,672,-4778,-311.0,-151.76,-2392,2742.27,0.06,-1.19,7508849.05,7520039.58,4781,2377.77,-1806.95,2326.0,105.79
300,672,-4796,151.0,126.49,-2679,2751.21,-0.06,-1.21,7557881.37,7569144.97,4764,2387.65,2175.05,2362.5,106.13
301,672,-4810,176.0,22.54,-4020,2799.93,-0.03,-1.18,7827945.37,7839611.46,4807,2415.74,12421.13,2375.0,108.01
302,672,-4830,45.0,42.91,4115,2837.1,0.0,-1.21,8037180.9,8049158.81,4829,2463.42,6611.19,2399.5,109.44
303,672,-4828,-274.5,-55.71,-709,2809.61,0.05,-1.2,7882137.51,7893884.36,4785,2424.07,-5043.42,2480.0,108.38
304,672,-4849,-83.5,-70.62,2851,2780.58,0.06,-1.15,7720095.85,7731601.2,4858,2389.24,-3937.43,2356.5,107.26
305,672,-4875,-114.0,-87.24,-2468,2830.32,0.07,-1.21,7998775.98,8010696.66,4876,2467.28,-3244.41,2431.0,109.18
306,672,-4878,-531.5,-265.6,-1206,2819.88,0.16,-1.18,7939872.85,7951705.74,4895,2434.39,-1061.7,2434.5,108.78
307,672,-4885,52.0,24.84,-4296,2892.68,-0.03,-1.24,8355167.17,8367618.98,4891,2509.91,11646.99,2618.0,111.59
308,672,-4927,-46.0,-110.36,-3247,2754.55,-0.01,-1.1,7576237.46,7587528.42,4915,2351.07,-2495.93,2330.5,106.26
309,672,-4913,-83.5,-61.6,-1394,2842.92,0.01,-1.2,8070141.59,8082168.63,4939,2461.89,-4614.92,2510.0,109.67
310,672,-4947,-342.0,-102.3,4012,2869.01,0.13,-1.17,8218984.26,8231233.11,4951,2472.6,-2804.41,2431.0,110.67
