For each nBits calculate their wOffset stats:
nBits count min median mean mode stdev skew kurtosis pvariance variance max mad cv medad stderr
429 671 -6834 -666 -429.73 -3557 3254.26 0.14 -0.79 10574400.3 10590183 6801 2709.69 -757.28 2431 125.63
430 671 -6866 -851 -676.48 -6314 3642.39 0.17 -0.96 13247246.32 13267018 6864 3096.05 -538.44 2986 140.61
431 671 -6889 -675 -589.15 1338 3418.47 0.09 -0.87 11668487.34 11685903 6847 2874.98 -580.23 2628 131.97
432 713 -6912 -238 -288.44 -332 3415.8 -0.01 -0.82 11651357.76 11667722 6887 2856.45 -1184.23 2616 127.92
433 671 -6895 -438 -464.35 719 3167.49 -0.07 -0.64 10018057.76 10033010 6877 2595.9 -682.14 2282 122.28
434 671 -6925 -527 -617.69 1899 3273.85 -0.02 -0.72 10702114.89 10718088 6925 2727.47 -530.02 2426 126.39
435 671 -6954 -470 -438.23 1641 3182.46 -0.03 -0.52 10112965.33 10128059 6882 2597.11 -726.2 2280 122.86
436 671 -6976 -674 -723.27 949 3316.87 0.05 -0.58 10985248.03 11001644 6955 2721.7 -458.59 2315 128.05
437 671 -6948 -130 -422.44 -5051 3172.85 -0.08 -0.53 10051994.51 10066997 6944 2595.93 -751.08 2257 122.49
438 713 -7005 -307 -351.69 1326 3453.41 0.05 -0.64 11909335.02 11926062 7002 2856.68 -981.94 2461 129.33
439 671 -7018 -254 -304.56 -1419 3173.02 -0.05 -0.69 10053021.47 10068026 6781 2650.71 -1041.85 2372 122.49
440 671 -6982 -382 -253.84 4599 3388.35 0.01 -0.81 11463798.96 11480909 6991 2849.0 -1334.86 2648 130.81
441 671 -7035 -1644 -790.04 -3180 3352.07 0.44 -0.68 11219639.61 11236385 6987 2799.41 -424.29 1957 129.41
442 671 -7062 -2354 -1186.63 -2448 3377.46 0.6 -0.57 11390238.69 11407239 7046 2822.66 -284.63 1787 130.39
443 671 -7083 -1586 -1084.06 -2235 3215.42 0.34 -0.56 10323513.92 10338922 6782 2641.17 -296.61 1979 124.13
444 713 -7098 -1972 -1171.77 1273 3135.75 0.59 -0.18 9819125.11 9832916 7103 2520.55 -267.61 1519 117.43
445 671 -7091 -1692 -1270.56 -3097 3463.09 0.29 -0.68 11975130.94 11993004 6951 2831.82 -272.56 2275 133.69
446 671 -7128 -1466 -1272.74 -1515 3463.13 0.21 -0.46 11975411.9 11993286 7081 2616.73 -272.1 1937 133.69
447 671 -7150 -734 -837.44 -1191 3536.14 -0.06 -0.69 12485646.17 12504281 6976 2829.54 -422.26 2396 136.51
448 671 -7163 -906 -989.53 -432 3234.15 -0.22 -0.39 10444105.94 10459694 6827 2489.01 -326.84 1922 124.85
449 671 -7162 -356 -628.12 963 3067.14 -0.24 -0.15 9393305.03 9407325 7093 2360.02 -488.3 1604 118.41
450 713 -7151 -372 -579.11 1654 3093.78 -0.22 -0.13 9558039.92 9571464 6972 2375.69 -534.23 1650 115.86
451 671 -7193 -230 -579.21 3051 3147.25 -0.22 -0.37 9890419.19 9905181 7176 2482.22 -543.37 1799 121.5
452 671 -7205 -329 -577.74 1258 3305.52 -0.22 -0.37 10910169.2 10926453 7144 2553.92 -572.15 1708 127.61
